City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
110,Yeppoon,AU,2022-02-20 11:06:46,-23.1333,150.7333,76.78,69,27,13.09
111,Qaqortoq,GL,2022-02-20 11:06:47,60.7167,-46.0333,12.7,81,0,3.47
112,Ternate,ID,2022-02-20 11:06:47,0.8,127.4,79.83,85,100,16.8
113,Batticaloa,LK,2022-02-20 11:06:47,7.7102,81.6924,81.32,76,56,13.04
114,Kirkwood,US,2022-02-20 11:06:48,38.5834,-90.4068,35.78,63,0,9.22
115,Avera,US,2022-02-20 11:06:48,33.194,-82.5271,42.67,55,0,7.49
116,Meulaboh,ID,2022-02-20 11:06:49,4.1363,96.1285,83.84,67,88,6.53
117,Vestmannaeyjar,IS,2022-02-20 11:06:49,63.4427,-20.2734,38.39,65,40,35.68
118,Dikson,RU,2022-02-20 11:06:50,73.5069,80.5464,18.84,95,100,15.1
119,Boa Vista,BR,2022-02-20 11:06:50,2.8197,-60.6733,78.78,65,0,11.5
120,Shache,CN,2022-02-20 11:06:50,38.4167,77.2406,43.16,28,7,7.47
121,Seljord,NO,2022-02-20 11:06:51,59.4894,8.634,32.67,77,100,2.06
122,Acapulco,MX,2022-02-20 11:03:51,16.8634,-99.8901,73.22,73,20,0.0
123,Saint George,US,2022-02-20 11:03:54,37.1041,-113.5841,37.99,41,0,3.44
124,Arraial Do Cabo,BR,2022-02-20 11:06:51,-22.9661,-42.0278,75.06,94,75,6.91
125,Biak,ID,2022-02-20 11:06:52,-0.9131,122.8766,77.07,86,100,6.89
126,Tuatapere,NZ,2022-02-20 11:05:35,-46.1333,167.6833,52.83,92,52,2.93
127,Orje,NO,2022-02-20 11:06:52,59.4802,11.6602,36.41,60,30,9.84
128,Miraflores,MX,2022-02-20 11:06:53,19.2167,-98.8083,54.03,65,2,1.32
129,Pontes E Lacerda,BR,2022-02-20 11:06:53,-15.2261,-59.3353,71.01,98,87,3.36
130,Mandalgovi,MN,2022-02-20 11:06:53,45.7625,106.2708,8.83,53,66,7.11
131,Broome,US,2022-02-20 11:07:54,42.2506,-75.833,13.66,75,0,4.0
132,Mweka,CD,2022-02-20 11:07:54,-4.85,21.5667,87.03,46,96,2.95
133,Provideniya,RU,2022-02-20 11:07:54,64.3833,-173.3,-8.75,89,99,15.37
134,Horgos,RS,2022-02-20 11:07:55,46.1556,19.9725,54.14,61,64,9.51
135,Arlit,NE,2022-02-20 11:07:55,18.7369,7.3853,83.1,7,0,8.9
136,Butaritari,KI,2022-02-20 11:07:56,3.0707,172.7902,81.45,80,100,23.29
137,Shinpokh,PK,2022-02-20 11:07:56,34.3292,71.1782,78.21,16,0,16.15
